  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
    8.6760       1.0000           6.7980        4.5000     1.000000    -0.3017950D-02    -0.5398585D-02     0.3365280D-04
    8.7020       1.0260           7.0310        4.7500     1.000000     0.4048510D-04    -0.2719131D-02     0.3507585D-04
    8.7270       1.0510           7.2590        5.0000     1.000000    -0.1045747D-02    -0.5470312D-02     0.3532801D-04
    8.7520       1.0760           7.4840        5.2500     1.000000     0.7630617D-03    -0.4151193D-02     0.3447452D-04
    8.7770       1.1010           7.7070        5.5000     1.000000     0.4432551D-02     0.1112564D-02     0.3252681D-04
    8.8010       1.1250           7.9250        5.7500     1.000000     0.3877618D-02    -0.2342919D-03     0.2965886D-04
    8.8250       1.1490           8.1410        6.0000     1.000000     0.5147675D-02     0.1843117D-02     0.2586312D-04
    8.8480       1.1720           8.3530        6.2500     1.000000     0.1186352D-02    -0.3458078D-02     0.2141818D-04
    8.8720       1.1960           8.5630        6.5000     1.000000     0.8073818D-02     0.5052658D-02     0.1602181D-04
    8.8950       1.2190           8.7700        6.7500     1.000000     0.8730918D-02     0.5754494D-02     0.1022035D-04
    8.9170       1.2410           8.9750        7.0000     1.000000     0.2181533D-02    -0.1797416D-02     0.4196551D-05
    8.9400       1.2640           9.1770        7.2500     1.000000     0.7469792D-02     0.4373087D-02    -0.2476274D-05
    8.9620       1.2860           9.3780        7.5000     1.000000     0.4577305D-02     0.1933235D-02    -0.9089589D-05
    8.9840       1.3080           9.5770        7.7500     1.000000     0.3530433D-02     0.1912572D-02    -0.1578912D-04
    9.0060       1.3300           9.7740        8.0000     1.000000     0.4342631D-02     0.4263349D-02    -0.2242404D-04
    9.0270       1.3510           9.9680        8.2500     1.000000    -0.9525863D-03    -0.2684791D-02    -0.2854631D-04
    9.0490       1.3730          10.1610        8.5000     1.000000     0.3636225D-02     0.4176784D-02    -0.3456819D-04
    9.0700       1.3940          10.3530        8.7500     1.000000     0.1679016D-03     0.1463370D-02    -0.3976979D-04
    9.0910       1.4150          10.5420        9.0000     1.000000    -0.3505647D-03     0.7718174D-03    -0.4425762D-04
    9.1120       1.4360          10.7300        9.2500     1.000000     0.1072912D-03     0.2075767D-02    -0.4784323D-04
    9.1330       1.4570          10.9170        9.5000     1.000000     0.1570818D-02     0.5351823D-02    -0.5032700D-04
    9.1530       1.4770          11.1030        9.7500     1.000000    -0.4905377D-02    -0.1618136D-02    -0.5147533D-04
    9.1740       1.4980          11.2870       10.0000     1.000000    -0.3352418D-03     0.5452044D-02    -0.5119005D-04
    9.1940       1.5180          11.4690       10.2500     1.000000    -0.2643754D-02     0.2066304D-02    -0.4928889D-04
    9.2140       1.5380          11.6500       10.5000     1.000000    -0.3818148D-02     0.4121782D-03    -0.4558421D-04
    9.2340       1.5580          11.8300       10.7500     1.000000    -0.3820913D-02     0.4819513D-03    -0.3985639D-04
    9.2540       1.5780          12.0090       11.0000     1.000000    -0.2612162D-02     0.2270346D-02    -0.3187661D-04
    9.2730       1.5970          12.1870       11.2500     1.000000    -0.9179471D-02    -0.6941420D-02    -0.2199326D-04
    9.2930       1.6170          12.3640       11.5000     1.000000    -0.5434562D-02    -0.1807660D-02    -0.8929173D-05
    9.3120       1.6360          12.5390       11.7500     1.000000    -0.8409945D-02    -0.7840035D-02     0.6238421D-05
    9.3320       1.6560          12.7130       12.0000     1.000000    -0.9506002D-03     0.6463723D-03     0.2536013D-04
    9.3510       1.6750          12.8870       12.2500     1.000000    -0.2156339D-02    -0.2191107D-02     0.4676903D-04
    9.3700       1.6940          13.0590       12.5000     1.000000    -0.9177213D-03    -0.3461324D-02     0.7158475D-04
    9.3890       1.7130          13.2300       12.7500     1.000000     0.1813332D-02    -0.3154537D-02     0.1000573D-03
    9.4080       1.7320          13.4020       13.0000     1.000000     0.4086835D-02    -0.1259019D-02     0.1324443D-03
    9.4270       1.7510          13.5740       13.2500     1.000000     0.6954731D-02     0.2238945D-02     0.1690107D-03
    9.4450       1.7690          13.7460       13.5000     1.000000     0.1216148D-02    -0.6112729D-02     0.2077546D-03
    9.4640       1.7880          13.9180       13.7500     1.000000     0.5397918D-02     0.5526399D-03     0.2532488D-03
    9.4820       1.8060          14.0920       14.0000     1.000550    -0.9941059D-03    -0.4764939D-02    -0.2490402D-03
    9.5010       1.8250          14.2640       14.2500     1.000760     0.4720125D-02     0.5142035D-02    -0.4035295D-03
    9.5190       1.8430          14.4360       14.5000     1.001660     0.1888505D-02     0.2935793D-02    -0.1135758D-11
    9.5370       1.8610          14.6090       14.7500     1.002090    -0.1102628D-02     0.2275266D-02     0.2271294D-11
    9.5550       1.8790          14.7830       15.0000     1.002560    -0.4197906D-02     0.3183625D-02    -0.1135314D-11
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.97700000000000 !!
  -----------------------------------------------------------------------------------
