       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    20.9600    n     1.500     7.557     8.336     8.347     9.409     9.409     9.558   0.458    2.00     0.000     1.500     0.000  0.0000  0.0764  0.0000     0.000     3.275     0.000     0.000     7.773     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9700    n     1.500     7.676     8.309     8.319     9.556     9.556     9.677   0.430    1.84     0.000     1.500     0.000  0.0000  0.0797  0.0000     0.000     3.491     0.000     0.000     9.012     0.001  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9770    n     1.500     7.451     8.227     8.240     9.152     9.152     9.473   0.513    2.33     0.000     1.500     0.000  0.0000  0.0710  0.0000     0.000     2.927     0.000     0.000     5.765     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.1140    n     1.500     7.750     8.295     8.307     8.740     8.740     9.277   0.480    2.13     0.000     1.500     0.000  0.0000  0.0741  0.0000     0.000     3.127     0.000     0.000     6.718     0.002  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.2570    n     1.500     7.731     8.332     8.345     9.007     9.007     9.326   0.509    2.28     0.000     1.481     0.022  0.0000  0.0677  0.1055     0.000     2.852     0.093     0.000     5.403     0.487  -999.999  -999.999  -999.999  -999.999  -999.999   1.01180   1.02854   0.00050
    21.4450    n     1.500     8.038     8.594     8.606     9.013     9.013     9.187   0.489    2.16     0.004     1.481     0.016  0.0985  0.0692  0.1032     0.029     2.965     0.073     0.185     5.778     0.335  -999.999  -999.999  -999.999  -999.999  -999.999   1.01425   1.03380   0.00050
    21.4500    n     1.500     8.010     8.522     8.533     9.126     9.126     9.126   0.468    2.06     0.000     1.500     0.000  0.0000  0.0753  0.0000     0.000     3.207     0.000     0.000     7.361     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.4530    n     1.500     7.995     8.536     8.548     9.161     9.161     9.184   0.485    2.17     0.000     1.500     0.000  0.0000  0.0735  0.0000     0.000     3.090     0.000     0.003     6.394     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.5530    n     1.500     8.004     8.549     8.560     9.305     9.305     9.475   0.481    2.15     0.000     1.500     0.000  0.0000  0.0738  0.0000     0.006     3.107     0.008     0.051     6.556     0.090  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6800    n     1.500     8.056     8.646     8.657     9.446     9.460     9.446   0.448    2.17     0.000     1.498     0.002  0.0000  0.0862  0.1046     0.000     3.338     0.012     0.000     7.014     0.090  -999.999  -999.999  -999.999  -999.999  -999.999   1.00173   1.00397   0.00050
    21.6850    n     1.500     7.968     8.623     8.634     8.292     9.469     8.292   0.454    2.28     0.000     1.497     0.003  0.0000  0.0877  0.0985     0.000     3.279     0.022     0.000     6.483     0.130  -999.999  -999.999  -999.999  -999.999  -999.999   1.00292   1.00682   0.00050
    21.6870    n     1.500     8.064     8.687     8.697     9.379     9.497     9.379   0.444    2.21     0.003     1.497     0.000  0.0985  0.0892  0.0000     0.015     3.360     0.001     0.187     7.091     0.020  -999.999  -999.999  -999.999  -999.999  -999.999   1.00146   1.00353   0.00050
    21.7780    n     1.500     7.647     8.565     8.578     9.264     9.264     9.737   0.501    2.59     0.000     1.500     0.000  0.0000  0.0822  0.0000     0.004     2.986     0.004     0.023     4.937     0.048  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9600    n     1.750     7.557     8.384     8.396     9.409     9.409     9.558   0.479    2.13     0.000     1.750     0.000  0.0000  0.0742  0.0000     0.000     3.654     0.000     0.000     8.161     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9700    n     1.750     7.676     8.347     8.357     9.556     9.556     9.677   0.457    2.00     0.000     1.750     0.000  0.0000  0.0765  0.0000     0.000     3.827     0.000     0.000     9.012     0.002  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9770    n     1.750     7.451     8.280     8.295     9.152     9.152     9.473   0.541    2.51     0.000     1.750     0.000  0.0000  0.0686  0.0000     0.000     3.233     0.000     0.000     5.883     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.1140    n     1.750     7.750     8.341     8.355     8.740     8.740     9.277   0.509    2.31     0.000     1.750     0.000  0.0000  0.0713  0.0000     0.000     3.436     0.001     0.000     6.731     0.027  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.2570    n     1.750     7.731     8.384     8.399     9.007     9.007     9.326   0.538    2.46     0.000     1.723     0.030  0.0000  0.0651  0.1062     0.000     3.133     0.120     0.000     5.419     0.553  -999.999  -999.999  -999.999  -999.999  -999.999   1.01373   1.03327   0.00050
    21.4450    n     1.750     8.038     8.644     8.658     9.013     9.013     9.187   0.516    2.33     0.005     1.725     0.022  0.0985  0.0665  0.1036     0.043     3.255     0.091     0.363     5.778     0.374  -999.999  -999.999  -999.999  -999.999  -999.999   1.01587   1.03770   0.00050
    21.4500    n     1.750     8.010     8.565     8.578     9.126     9.126     9.126   0.496    2.23     0.000     1.750     0.000  0.0000  0.0725  0.0000     0.000     3.528     0.000     0.000     7.447     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.4530    n     1.750     7.995     8.584     8.598     9.161     9.161     9.184   0.515    2.35     0.000     1.750     0.000  0.0000  0.0708  0.0000     0.001     3.396     0.000     0.018     6.410     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.5530    n     1.750     8.004     8.590     8.604     9.305     9.305     9.475   0.515    2.31     0.000     1.748     0.002  0.0000  0.0691  0.1007     0.008     3.380     0.012     0.060     6.556     0.113  -999.999  -999.999  -999.999  -999.999  -999.999   1.00182   1.00415   0.00050
    21.6800    n     1.750     8.056     8.692     8.703     9.446     9.460     9.446   0.477    2.35     0.000     1.748     0.002  0.0000  0.0822  0.1008     0.000     3.655     0.016     0.000     7.017     0.106  -999.999  -999.999  -999.999  -999.999  -999.999   1.00226   1.00518   0.00050
    21.6850    n     1.750     7.968     8.672     8.684     8.292     9.469     8.292   0.482    2.47     0.000     1.745     0.005  0.0000  0.0842  0.0985     0.000     3.600     0.028     0.000     6.484     0.150  -999.999  -999.999  -999.999  -999.999  -999.999   1.00349   1.00816   0.00050
    21.6870    n     1.750     8.064     8.733     8.744     9.379     9.497     9.379   0.472    2.40     0.005     1.745     0.000  0.0985  0.0855  0.0000     0.024     3.684     0.002     0.208     7.091     0.038  -999.999  -999.999  -999.999  -999.999  -999.999   1.00163   1.00402   0.00050
    21.7780    n     1.750     7.647     8.627     8.641     9.264     9.264     9.737   0.530    2.80     0.000     1.750     0.000  0.0000  0.0791  0.0000     0.006     3.291     0.007     0.027     4.937     0.067  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9600    n     2.000     7.557     8.423     8.436     9.409     9.409     9.558   0.502    2.27     0.000     2.000     0.000  0.0000  0.0719  0.0000     0.000     3.980     0.000     0.011     8.280     0.008  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9700    n     2.000     7.676     8.382     8.394     9.556     9.556     9.677   0.483    2.15     0.000     2.000     0.000  0.0000  0.0738  0.0000     0.000     4.145     0.000     0.000     9.012     0.002  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9770    n     2.000     7.451     8.329     8.346     9.152     9.152     9.473   0.567    2.68     0.000     2.000     0.000  0.0000  0.0666  0.0000     0.000     3.528     0.000     0.000     5.994     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.1140    n     2.000     7.750     8.385     8.400     8.740     8.740     9.277   0.536    2.48     0.000     2.000     0.000  0.0000  0.0690  0.0000     0.000     3.730     0.002     0.000     6.743     0.051  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.2570    n     2.000     7.731     8.433     8.450     9.007     9.007     9.326   0.563    2.63     0.000     1.965     0.039  0.0000  0.0630  0.1069     0.000     3.401     0.149     0.000     5.433     0.616  -999.999  -999.999  -999.999  -999.999  -999.999   1.01555   1.03779   0.00050
    21.4450    n     2.000     8.038     8.691     8.706     9.013     9.013     9.187   0.541    2.49     0.011     1.965     0.027  0.0978  0.0643  0.1040     0.064     3.527     0.109     0.537     5.778     0.410  -999.999  -999.999  -999.999  -999.999  -999.999   1.02117   1.05017   0.00050
    21.4500    n     2.000     8.010     8.606     8.620     9.126     9.126     9.126   0.522    2.39     0.000     2.000     0.000  0.0000  0.0702  0.0000     0.000     3.834     0.000     0.000     7.528     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.4530    n     2.000     7.995     8.630     8.645     9.161     9.161     9.184   0.542    2.52     0.000     2.000     0.000  0.0000  0.0685  0.0000     0.002     3.689     0.002     0.032     6.415     0.110  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.5530    n     2.000     8.004     8.633     8.648     9.305     9.305     9.475   0.542    2.48     0.001     1.996     0.003  0.0985  0.0666  0.1010     0.011     3.662     0.017     0.080     6.556     0.136  -999.999  -999.999  -999.999  -999.999  -999.999   1.00426   1.00964   0.00050
    21.6800    n     2.000     8.056     8.735     8.747     9.446     9.460     9.446   0.503    2.51     0.000     1.997     0.003  0.0000  0.0789  0.1010     0.000     3.956     0.021     0.000     7.019     0.121  -999.999  -999.999  -999.999  -999.999  -999.999   1.00270   1.00619   0.00050
    21.6850    n     2.000     7.968     8.720     8.733     8.292     9.469     8.292   0.507    2.65     0.000     1.994     0.006  0.0000  0.0813  0.0985     0.000     3.906     0.036     0.000     6.484     0.168  -999.999  -999.999  -999.999  -999.999  -999.999   1.00404   1.00947   0.00050
    21.6870    n     2.000     8.064     8.777     8.789     9.379     9.497     9.379   0.496    2.57     0.007     1.993     0.000  0.0985  0.0825  0.0000     0.033     3.993     0.004     0.228     7.091     0.055  -999.999  -999.999  -999.999  -999.999  -999.999   1.00170   1.00427   0.00050
