24.08.95 06.30  0.4771
24.08.95 07.00  0.476
24.08.95 07.30  0.4748
24.08.95 08.00  0.4737
24.08.95 08.30  0.4726
24.08.95 09.00  0.4715
24.08.95 09.30  0.4704
24.08.95 10.00  0.4693
24.08.95 10.30  0.4682
24.08.95 11.00  0.4671
24.08.95 11.30  0.466
24.08.95 12.00  0.5359
24.08.95 12.30  0.524
24.08.95 13.00  0.5046
24.08.95 13.30  0.4801
24.08.95 14.00  0.456
24.08.95 14.30  0.4321
24.08.95 15.00  0.487
24.08.95 15.30  0.4772
24.08.95 16.00  0.4676
24.08.95 16.30  0.4582
24.08.95 17.00  0.4488
24.08.95 17.30  0.4393
24.08.95 18.00  0.4299
24.08.95 18.30  0.4205
24.08.95 19.00  0.4204
24.08.95 19.30  0.4568
24.08.95 20.00  0.4582
24.08.95 20.30  0.4597
24.08.95 21.00  0.4611
24.08.95 21.30  0.4626
24.08.95 22.00  0.464
24.08.95 22.30  0.5345
24.08.95 23.00  0.8799
24.08.95 23.30  0.7753
25.08.95 00.00  0.6587
25.08.95 00.30  0.5916
25.08.95 01.00  0.5451
25.08.95 01.30  0.5241
25.08.95 02.00  0.5174
25.08.95 02.30  0.5108
25.08.95 03.00  0.5041
25.08.95 03.30  0.4998
25.08.95 04.00  0.4971
25.08.95 04.30  0.4946
25.08.95 05.00  0.4919
25.08.95 05.30  0.4894
25.08.95 06.00  0.4868
25.08.95 06.30  0.4842
25.08.95 07.00  0.4816
25.08.95 07.30  0.479
25.08.95 08.00  0.4765
25.08.95 08.30  0.4738
25.08.95 09.00  0.4713
25.08.95 09.30  0.4687
25.08.95 10.00  0.4662
25.08.95 10.30  0.5268
25.08.95 11.00  0.5211
25.08.95 11.30  0.5154
25.08.95 12.00  0.5088
25.08.95 12.30  0.4919
25.08.95 13.00  0.475
25.08.95 13.30  0.4586
25.08.95 14.00  0.4422
25.08.95 14.30  0.4821
25.08.95 15.00  0.5011
25.08.95 15.30  0.4657
25.08.95 16.00  0.4468
25.08.95 16.30  0.4335
25.08.95 17.00  0.4201
25.08.95 17.30  0.3589
25.08.95 18.00  0.3609
25.08.95 18.30  0.362
25.08.95 19.00  0.363
25.08.95 19.30  0.364
25.08.95 20.00  0.365
25.08.95 20.30  0.366
25.08.95 21.00  0.367
25.08.95 21.30  0.368
25.08.95 22.00  0.369
25.08.95 22.30  0.37
25.08.95 23.00  0.3711
25.08.95 23.30  0.3722
26.08.95 00.00  0.3732
26.08.95 00.30  0.3743
26.08.95 01.00  0.3754
26.08.95 01.30  0.3765
26.08.95 02.00  0.3776
26.08.95 02.30  0.3786
26.08.95 03.00  0.3797
26.08.95 03.30  0.3808
26.08.95 04.00  0.3818
26.08.95 04.30  0.4516
26.08.95 05.00  0.5277
26.08.95 05.30  0.5051
26.08.95 06.00  0.5486
26.08.95 06.30  0.6012
26.08.95 07.00  0.7337
26.08.95 07.30  0.6699
26.08.95 08.00  0.6179
26.08.95 08.30  0.6044
26.08.95 09.00  0.5911
26.08.95 09.30  0.6641
26.08.95 10.00  0.7523
26.08.95 10.30  0.6915
26.08.95 11.00  0.6607
26.08.95 11.30  0.7399
26.08.95 12.00  0.6923
26.08.95 12.30  0.6459
26.08.95 13.00  0.6908
26.08.95 13.30  0.6376
26.08.95 14.00  0.5758
26.08.95 14.30  0.5481
26.08.95 15.00  0.5369
26.08.95 15.30  0.5259
26.08.95 16.00  0.5148
26.08.95 16.30  0.5037
26.08.95 17.00  0.4927
26.08.95 17.30  0.4816
26.08.95 18.00  0.5515
26.08.95 18.30  0.7075
26.08.95 19.00  0.6418
26.08.95 19.30  0.953
