FLUSS_KM	RW	HW	HOEHE
41.745	3929073.405	773789.588	365.479
41.745	3929071.12	773789.522	365.573
41.745	3929070.671	773789.51	365.592
41.745	3929070.553	773789.506	365.597
41.745	3929070.422	773789.502	365.602
41.745	3929070.024	773789.496	365.618
41.745	3929069.645	773789.492	365.634
41.745	3929065.19	773789.465	365.8
41.745	3929063.533	773789.627	365.864
41.745	3929061.429	773789.832	365.946
41.745	3929056.205	773790.342	366.139
41.745	3929053.725	773790.584	366.221
41.745	3929051.554	773790.796	366.294
41.745	3929046.051	773791.332	366.499
41.745	3929039.355	773791.986	366.727
41.745	3929037.581	773792.159	366.788
41.745	3929035.921	773792.321	366.846
41.745	3929029.11	773792.985	367.077
41.745	3929025.975	773793.291	368.65
41.745	3929025.196	773793.367	369.157
41.745	3929024.392	773793.445	369.681
41.745	3929021.27	773793.75	371.267
41.745	3929019.771	773793.896	371.846
41.745	3929018.307	773794.039	372.411
41.745	3929015.675	773794.296	372.603
41.745	3929014.513	773794.409	372.688
41.8	3929347.405	773836.536	370.98
41.8	3929341.671	773836.953	370.248
41.8	3929334.635	773837.466	369.26
41.8	3929329.317	773837.853	368.513
41.8	3929324.198	773838.226	367.916
41.8	3929320.776	773838.475	367.512
41.8	3929307.733	773839.425	367.457
41.8	3929298.655	773840.086	367.418
41.8	3929286.801	773840.949	367.388
41.8	3929279.292	773841.495	367.327
41.8	3929268.374	773842.29	367.239
41.8	3929263.231	773842.665	367.224
41.8	3929249.243	773843.683	367.181
41.8	3929239.955	773844.36	367.136
41.8	3929237.363	773844.548	367.105
41.8	3929233.734	773844.813	367.078
41.8	3929217.716	773845.979	366.983
41.8	3929215.798	773846.119	366.972
41.8	3929205.185	773846.891	366.908
41.8	3929193.831	773847.718	366.898
41.8	3929192.802	773847.793	366.905
41.8	3929191.261	773847.905	366.917
41.8	3929180.293	773848.704	366.919
41.8	3929176.99	773848.944	366.942
41.8	3929176.189	773849.003	366.947
41.8	3929175.351	773849.064	366.953
41.8	3929172.085	773849.302	366.975
41.8	3929168.105	773849.591	366.997
41.8	3929167.077	773849.666	367.003
41.8	3929165.969	773849.747	367.01
41.8	3929162.065	773850.031	367.032
41.8	3929159.558	773850.214	366.542
41.8	3929158.763	773850.272	366.378
41.8	3929157.895	773850.335	366.2
41.8	3929155.451	773850.513	365.721
41.8	3929149.037	773850.98	365.641
41.8	3929146.941	773851.132	365.613
41.8	3929144.91	773851.28	365.586
41.8	3929138.42	773851.753	365.506
41.8	3929134.479	773852.04	365.463
41.8	3929132.569	773852.179	365.444
41.8	3929128.64	773852.465	365.403
41.8	3929126.829	773852.597	365.384
41.8	3929126.03	773852.655	365.213
41.8	3929123.16	773852.864	364.648
41.8	3929120.092	773853.087	364.045
41.8	3929119.474	773853.132	363.914
41.8	3929119.217	773853.151	363.852
41.8	3929118.149	773853.229	363.484
41.8	3929117.089	773853.306	363.118
41.8	3929116.824	773853.325	363.054
41.8	3929116.319	773853.362	362.977
41.8	3929113.718	773853.552	362.641
41.8	3929111.083	773853.743	362.301
41.8	3929110.613	773853.778	362.231
41.8	3929110.219	773853.806	362.231
41.8	3929108.024	773853.966	362.231
41.8	3929105.812	773854.127	362.231
41.8	3929105.435	773854.155	362.231
41.8	3929105.167	773854.174	362.219
41.8	3929103.415	773854.302	362.18
41.8	3929101.659	773854.43	362.141
41.8	3929101.394	773854.449	362.13
41.8	3929101.03	773854.475	362.129
41.8	3929098.925	773854.629	362.082
41.8	3929096.83	773854.781	362.035
41.8	3929096.456	773854.808	362.035
41.8	3929096.175	773854.829	362.17
41.8	3929094.273	773854.967	363.009
41.8	3929092.346	773855.108	363.86
41.8	3929092.089	773855.126	363.984
41.8	3929091.725	773855.153	364.091
41.8	3929089.718	773855.299	364.709
41.8	3929087.717	773855.445	365.324
41.8	3929087.342	773855.472	365.433
41.8	3929086.027	773855.568	365.54
41.8	3929080.569	773855.965	365.962
41.8	3929077.971	773856.154	366.163
41.8	3929073.972	773856.446	366.496
41.8	3929068.846	773856.819	366.649
41.8	3929066.547	773856.986	366.723
41.8	3929063.958	773857.175	366.807
41.8	3929059.102	773857.528	366.953
41.8	3929054.583	773857.857	366.983
41.8	3929051.887	773858.054	366.991
41.8	3929049.141	773858.254	366.999
41.8	3929044.67	773858.579	367.028
41.8	3929042.695	773858.723	367.759
41.8	3929041.553	773858.806	368.215
41.8	3929040.389	773858.891	368.68
41.8	3929038.439	773859.033	369.401
41.8	3929036.244	773859.193	370.297
41.8	3929034.791	773859.299	370.888
41.8	3929033.294	773859.408	371.496
41.8	3929031.142	773859.564	372.375
41.8	3929027.356	773859.84	373.823
41.8	3929024.689	773860.034	374.895
41.8	3929021.908	773860.237	376.012
41.9	3929366.43	773844.522	370.906
41.9	3929361.586	773847.419	369.609
41.9	3929359.902	773848.426	369.18
41.9	3929358.78	773849.097	368.894
41.9	3929353.503	773852.252	367.446
41.9	3929353.164	773852.454	367.444
41.9	3929343.982	773857.944	367.385
41.9	3929339.178	773860.817	367.315
41.9	3929325.493	773868.999	367.118
41.9	3929324.365	773869.673	367.106
41.9	3929323.462	773870.213	367.098
41.9	3929303.665	773882.05	367.151
41.9	3929302.096	773882.988	367.155
41.9	3929300.438	773883.979	367.149
41.9	3929280.316	773896.01	367.075
41.9	3929278.764	773896.938	367.07
41.9	3929277.026	773897.977	367.065
41.9	3929257.717	773909.522	367.137
41.9	3929255.21	773911.021	367.146
41.9	3929252.355	773912.728	367.14
41.9	3929235.69	773922.691	367.109
41.9	3929232.86	773924.384	367.098
41.9	3929230.176	773925.989	367.087
41.9	3929228.633	773926.911	367.047
41.9	3929225.744	773928.638	366.97
41.9	3929220.574	773931.729	366.869
41.9	3929214.639	773935.278	366.753
41.9	3929210.474	773937.768	366.671
41.9	3929208.076	773939.202	366.587
41.9	3929204.139	773941.556	366.449
41.9	3929202.614	773942.468	366.395
41.9	3929199.325	773944.434	366.298
41.9	3929196.703	773946.002	366.221
41.9	3929194.169	773947.517	366.255
41.9	3929192.11	773948.748	366.283
41.9	3929187.946	773951.238	366.34
41.9	3929185.729	773952.563	366.384
41.9	3929184.418	773953.347	366.41
41.9	3929178.949	773956.421	366.525
41.9	3929176.777	773956.733	366.547
41.9	3929175.268	773956.949	366.563
41.9	3929172.703	773957.317	366.617
41.9	3929169.011	773957.402	366.683
41.9	3929166.606	773957.287	366.353
41.9	3929165.641	773957.242	366.174
41.9	3929164.471	773957.186	365.958
41.9	3929162.329	773957.084	365.648
41.9	3929159.458	773956.948	365.758
41.9	3929156.633	773956.814	365.877
41.9	3929153.326	773956.657	366.016
41.9	3929150.928	773956.543	366.109
41.9	3929148.001	773956.404	366.102
41.9	3929142.846	773956.159	366.063
