     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
    41.7400     57    82.176   363.827   0.0873354     0.657
    41.7400     58    84.691   364.574   0.0873354     0.000
    41.7400     59    84.723   364.583   0.0873354     0.000
    41.7400     60    84.749   364.591   0.0873354     0.000
    41.7400     61    85.036   364.677   0.0873354     0.000
    41.7400     62    87.257   365.342   0.0873354     0.000
    41.7400     63    87.918   365.369   0.0873354     0.000
    41.7400     64    88.368   365.387   0.0873354     0.000
    41.7400     65    88.516   365.393   0.0873354     0.000
    41.7400     66    89.911   365.450   0.0873354     0.000
    41.7400     67    90.631   365.481   0.0873354     0.000
    41.7400     68    91.279   365.509   0.0873354     0.000
    41.7400     69    91.786   365.530   0.0873354     0.000
    41.7400     70    92.269   365.550   0.0873354     0.000
    41.7400     71    92.873   365.575   0.0873354     0.000
    41.7400     72    93.335   365.594   0.0873354     0.000
    41.7400     73    94.760   365.654   0.0873354     0.000
    41.7400     74    96.454   365.724   0.0873354     0.000
    41.7400     75    97.696   365.776   0.0873354     0.000
    41.7400     76    99.269   365.841   0.0000000     0.000
    41.7400     77   100.902   365.903   0.0000000     0.000
    41.7400     78   101.489   365.925   0.0000000     0.000
    41.7400     79   102.874   365.976   0.0000000     0.000
    41.7400     80   109.404   366.189   0.0000000     0.000
    41.7400     81   115.527   366.390   0.0000000     0.000
    41.7400     82   117.303   366.455   0.0000000     0.000
    41.7400     83   119.320   366.521   0.0000000     0.000
    41.7400     84   125.885   366.744   0.0000000     0.000
    41.7400     85   132.493   366.968   0.0000000     0.000
    41.7400     86   134.467   367.034   0.0000000     0.000
    41.7400     87   135.329   367.460   0.0000000     0.000
    41.7450      1     0.000   369.765   0.0000000     0.000
    41.7450      2    13.231   369.313   0.0000000     0.000
    41.7450      3    14.485   369.292   0.0000000     0.000
    41.7450      4    15.462   369.276   0.0000000     0.000
    41.7450      5    19.462   369.100   0.0000000     0.000
    41.7450      6    28.999   368.681   0.0000000     0.000
    41.7450      7    33.048   368.471   0.0000000     0.000
    41.7450      8    34.187   368.327   0.0000000     0.000
    41.7450      9    35.883   368.114   0.0000000     0.000
    41.7450     10    39.294   367.892   0.0000000     0.000
    41.7450     11    39.930   367.277   0.0000000     0.000
    41.7450     12    41.015   366.226   0.0000000     0.000
    41.7450     13    41.027   366.215   0.0000000     0.000
    41.7450     14    43.045   366.179   0.0000000     0.000
    41.7450     15    44.230   366.158   0.0000000     0.000
    41.7450     16    45.985   366.147   0.0000000     0.000
    41.7450     17    46.719   366.142   0.0000000     0.000
    41.7450     18    47.761   366.135   0.0000000     0.000
    41.7450     19    49.513   366.123   0.0000000     0.000
    41.7450     20    51.346   366.100   0.0000000     0.000
    41.7450     21    56.598   366.031   0.0000000     0.000
    41.7450     22    61.934   365.962   0.0000000     0.000
    41.7450     23    63.618   365.940   0.0000000     0.000
    41.7450     24    64.011   365.935   0.0000000     0.000
    41.7450     25    64.583   365.919   0.0000000     0.000
    41.7450     26    71.041   365.737   0.0000000     0.000
    41.7450     27    74.600   365.637   0.0000000     0.000
    41.7450     28    78.054   365.543   0.0000000     0.000
    41.7450     29    79.430   365.502   0.0000000     0.000
    41.7450     30    80.221   365.477   0.0000000     0.000
    41.7450     31    80.908   365.455   0.0840170     0.000
    41.7450     32    82.430   365.410   0.0840170     0.000
    41.7450     33    82.908   365.394   0.0840170     0.000
    41.7450     34    83.434   365.377   0.0840170     0.000
    41.7450     35    84.929   365.329   0.0840170     0.000
    41.7450     36    85.823   365.301   0.0840170     0.000
    41.7450     37    87.201   365.257   0.0840170     0.000
    41.7450     38    87.886   365.235   0.0840170     0.000
    41.7450     39    89.266   365.211   0.0840170     0.000
    41.7450     40    90.457   365.191   0.0840170     0.702
    41.7450     41    92.783   364.657   0.0840170     0.702
    41.7450     42    93.182   364.565   0.0840170     0.702
    41.7450     43    93.539   364.482   0.0840170     0.702
    41.7450     44    95.893   363.942   0.0844074     0.702
    41.7450     45    97.666   363.499   0.0844074     0.702
    41.7450     46    97.711   363.488   0.0844074     0.702
    41.7450     47    97.754   363.477   0.0844074     0.702
    41.7450     48    98.704   363.240   0.0844074     0.702
    41.7450     49    99.534   363.033   0.0844074     0.702
    41.7450     50   102.705   362.672   0.0844074     0.702
    41.7450     51   103.040   362.633   0.0844074     0.702
    41.7450     52   103.450   362.586   0.0844074     0.702
    41.7450     53   106.540   362.233   0.0844074     0.702
    41.7450     54   108.847   362.233   0.0844074     0.702
    41.7450     55   109.634   362.233   0.0844074     0.702
    41.7450     56   110.573   362.233   0.0844074     0.702
    41.7450     57   112.736   362.233   0.0844074     0.702
    41.7450     58   113.851   362.205   0.0844074     0.702
    41.7450     59   114.546   362.187   0.0844074     0.702
    41.7450     60   115.330   362.166   0.0844074     0.702
    41.7450     61   116.356   362.140   0.0844074     0.702
    41.7450     62   117.451   362.112   0.0844074     0.702
    41.7450     63   118.434   362.086   0.0844074     0.702
    41.7450     64   119.574   362.056   0.0844074     0.702
    41.7450     65   120.496   362.033   0.0844074     0.702
    41.7450     66   121.528   362.371   0.0844074     0.702
    41.7450     67   123.247   362.937   0.0844074     0.702
    41.7450     68   125.302   363.614   0.0873354     0.702
    41.7450     69   126.004   363.844   0.0873354     0.702
    41.7450     70   126.559   364.014   0.0873354     0.702
    41.7450     71   128.567   364.600   0.0873354     0.702
    41.7450     72   130.947   365.296   0.0873354     0.000
    41.7450     73   131.140   365.355   0.0873354     0.000
    41.7450     74   131.328   365.363   0.0873354     0.000
    41.7450     75   133.245   365.444   0.0873354     0.000
    41.7450     76   134.079   365.479   0.0000000     0.000
    41.7450     77   136.365   365.573   0.0000000     0.000
    41.7450     78   136.814   365.592   0.0000000     0.000
    41.7450     79   136.932   365.597   0.0000000     0.000
    41.7450     80   137.063   365.602   0.0000000     0.000
    41.7450     81   137.461   365.618   0.0000000     0.000
    41.7450     82   137.840   365.634   0.0000000     0.000
    41.7450     83   142.295   365.800   0.0000000     0.000
    41.7450     84   143.960   365.864   0.0000000     0.000
    41.7450     85   146.074   365.946   0.0000000     0.000
    41.7450     86   151.323   366.139   0.0000000     0.000
    41.7450     87   153.815   366.221   0.0000000     0.000
    41.7450     88   155.996   366.294   0.0000000     0.000
    41.7450     89   161.525   366.499   0.0000000     0.000
    41.7450     90   168.253   366.727   0.0000000     0.000
    41.7450     91   170.035   366.788   0.0000000     0.000
    41.7450     92   171.703   366.846   0.0000000     0.000
    41.7450     93   178.546   367.077   0.0000000     0.000
    41.7450     94   181.696   368.650   0.0000000     0.000
    41.7450     95   182.479   369.157   0.0000000     0.000
    41.7450     96   183.287   369.681   0.0000000     0.000
    41.7450     97   186.424   371.267   0.0000000     0.000
    41.7450     98   187.930   371.846   0.0000000     0.000
    41.7450     99   189.401   372.411   0.0000000     0.000
    41.7450    100   192.045   372.603   0.0000000     0.000
    41.7450    101   193.213   372.688   0.0000000     0.000
    41.8000      1     0.000   370.980   0.0000000     0.000
    41.8000      2     5.749   370.248   0.0000000     0.000
    41.8000      3    12.804   369.260   0.0000000     0.000
    41.8000      4    18.136   368.513   0.0000000     0.000
    41.8000      5    23.268   367.916   0.0000000     0.000
    41.8000      6    26.699   367.512   0.0000000     0.000
    41.8000      7    39.777   367.457   0.0000000     0.000
    41.8000      8    48.879   367.418   0.0000000     0.000
    41.8000      9    60.764   367.388   0.0000000     0.000
    41.8000     10    68.293   367.327   0.0000000     0.000
    41.8000     11    79.240   367.239   0.0000000     0.000
    41.8000     12    84.397   367.224   0.0000000     0.000
    41.8000     13    98.422   367.181   0.0000000     0.000
    41.8000     14   107.734   367.136   0.0000000     0.000
    41.8000     15   110.333   367.105   0.0000000     0.000
    41.8000     16   113.972   367.078   0.0000000     0.000
    41.8000     17   130.032   366.983   0.0000000     0.000
    41.8000     18   131.955   366.972   0.0000000     0.000
    41.8000     19   142.596   366.908   0.0000000     0.000
    41.8000     20   153.981   366.898   0.0000000     0.000
    41.8000     21   155.012   366.905   0.0000000     0.000
    41.8000     22   156.557   366.917   0.0000000     0.000
    41.8000     23   167.554   366.919   0.0000000     0.000
    41.8000     24   170.866   366.942   0.0000000     0.000
    41.8000     25   171.669   366.947   0.0000000     0.000
    41.8000     26   172.510   366.953   0.0000000     0.000
    41.8000     27   175.784   366.975   0.0000000     0.000
    41.8000     28   179.775   366.997   0.0000000     0.000
    41.8000     29   180.805   367.003   0.0000000     0.000
    41.8000     30   181.916   367.010   0.0000000     0.000
    41.8000     31   185.831   367.032   0.0840170     0.000
    41.8000     32   188.344   366.542   0.0840170     0.000
    41.8000     33   189.141   366.378   0.0840170     0.000
    41.8000     34   190.012   366.200   0.0840170     0.000
    41.8000     35   192.462   365.721   0.0840170     0.000
    41.8000     36   198.893   365.641   0.0840170     0.000
    41.8000     37   200.995   365.613   0.0840170     0.000
    41.8000     38   203.031   365.586   0.0840170     0.000
    41.8000     39   209.538   365.506   0.0840170     0.000
    41.8000     40   213.490   365.463   0.0840170     0.000
    41.8000     41   215.405   365.444   0.0840170     0.000
    41.8000     42   219.344   365.403   0.0840170     0.000
    41.8000     43   221.160   365.384   0.0840170     0.718
    41.8000     44   221.961   365.213   0.0844074     0.718
    41.8000     45   224.839   364.648   0.0844074     0.718
    41.8000     46   227.915   364.045   0.0844074     0.718
