     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
     0.3710      2    -1.611     8.070   0.0000000     0.000
     0.3710      3    -0.414     8.070   0.0000000     0.000
     0.3710      4     0.000     8.070   0.0856632     1.030
     0.3710      5     4.786     4.945   0.0715109     1.098
     0.3710      6     4.790     4.945   0.0715109     1.098
     0.3710      7     7.192     4.931   0.0715109     1.098
     0.3710      8     7.686     4.872   0.0702810     0.968
     0.3710      9     7.690     4.872   0.0702810     0.968
     0.3710     10    10.443     7.450   0.0702810     0.968
     0.3710     11    10.775     7.550   0.0729226     0.968
     0.3710     12    12.137     7.850   0.0000000     0.000
     0.3710     13    13.169     8.031   0.0000000     0.000
     0.3710     14    13.200     8.070   0.0000000     0.000
     0.3710     15    14.804     9.220   0.0000000     0.000
     0.3710     16    16.276    10.556   0.0000000     0.000
     0.3710     17    16.440    10.666   0.0000000     0.000
     0.3710     18    17.057    11.442   0.0000000     0.000
     0.3710     19    18.075    12.550   0.0000000     0.000
     0.3710     20    20.414    12.620   0.0000000     0.000
     0.3710     21    22.981    13.206   0.0000000     0.000
     0.4750      1   -56.402     7.199   0.0000000     0.000
     0.4750      2   -52.534     7.422   0.0000000     0.000
     0.4750      3   -45.416     6.877   0.0000000     0.000
     0.4750      4   -31.887     6.862   0.0856632     0.571
     0.4750      5   -29.088     7.100   0.0715109     0.571
     0.4750      6   -27.462     6.883   0.0715109     0.571
     0.4750      7    -5.339     6.730   0.0715109     0.571
     0.4750      8    -4.051     6.718   0.0702810     0.571
     0.4750      9    -2.390     6.741   0.0702810     0.571
     0.4750     10    -0.915     6.665   0.0702810     0.571
     0.4750     11     0.000     6.643   0.0729226     0.571
     0.4750     12     2.405     5.944   0.0000000     0.000
     0.4750     13     3.000     5.400   0.0932514     0.854
     0.4750     14     3.406     5.104   0.0932514     0.854
     0.4750     15     4.232     5.053   0.0932514     0.854
     0.4750     16     5.365     5.429   0.0000000     0.000
     0.4750     17     5.816     5.423   0.0000000     0.000
     0.4750     18     6.397     6.057   0.0000000     0.000
     0.4750     19     9.588     8.149   0.0000000     0.000
     0.4750     20    10.874     7.462   0.0000000     0.000
     0.4750     21    12.323     8.284   0.0000000     0.000
     0.4750     22    12.912     8.901   0.0000000     0.000
     0.4750     23    13.772     9.665   0.0000000     0.000
     0.4750     24    15.221    10.805   0.0000000     0.000
     0.5139      1   -17.860     6.859   0.0000000     0.000
     0.5139      2    -2.068     6.859   0.0000000     0.000
     0.5139      3    -0.622     6.742   0.0000000     0.000
     0.5139      4     0.000     6.618   0.0856632     0.077
     0.5139      5     0.125     6.547   0.0681773     0.244
     0.5139      6     6.037     5.945   0.0681773     0.244
     0.5139      7     7.554     5.507   0.0681773     0.244
     0.5139      8    11.505     5.363   0.0681773     0.244
