Lfd.Nr.;Pegelname;Gewässer;Gewässerfolge;Gebiet;Gebietskennz.;TK 25;HW;RW;LS;Stationierung;Lage am Gewässer;Gemeindekennzahl;AEO (km2);PNP1;PNP2;PNP3;Messstellennummer1;Messstellennummer2;Messstellennummer3;Messnetzart;WO;W1;WZ;Q;B;F;Tw;2;3;4;5;GJ;OrB;eingest.;gepl.;Betreiber;Daten abrufbar bei;Veröffentlichung der Daten;sonstige Bemerkungen
1;Ummendorf;Aller;Weser;Aller;48131;3833;5779500;4444640;;248,0;links;;56,0;;124,71;HN76;440003;440002;440004;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
2;Alleringersleben;Aller;Weser;Aller;481113;3732;5786930;4440920;;237,0;links;;152;113,21;;n S;440004;440003;440006;G;WO;W1;;Q;;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten, Ausbau 1963, PNÄ 1955/64
3;Walbeck;Aller;Weser;Aller;48115;3732;5794250;4436520;;228,5;Mitte;;231;;94,32;HN76;440008;440006;440010;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
4;Weferlingen;Aller;Weser;Aller;48115;3632;5798320;4435574;;222,5;rechts;;249;84,27;;n S;440010;440008;440020;G;WO;W1;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten, Ausbau 1937/38, 1964
5;Hödingen;Schölecke;Aller, Weser;Aller;48116;3632;5796880;4438750;;1,7;rechts;;27,0;;;;441201;440030;441203;G;;W1;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
6;Etingen Zillbeck;Spetze;Aller, Weser;Aller;48127;3633;5806020;4443640;;7,0;links;;83,0;;74,41;HN76;441303;441203;444205;G;;W1;WZ;Q;B;;;;;;;;;;;STAU MD;STAU MD;;
7;Breitenrode;Aller;Weser;Aller;;3531;5815770;4427720;;1,5;;;;55,85;;;441405;;;;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
8;Ilsenburg;Ilse;Oker, Aller, Weser;Aller;48241;4129;5746440;4407420;;36,4;rechts;;21,4;351,28;;n S;444205;441303;444210;G;WO;W1;;Q;B;;;;;;;;;;;STAU MD;STAU MD;;
9;Bühne-Hoppenstedt;Ilse;Oker, Aller, Weser;Aller;48245;4029;5763200;4407550;;11,3;rechts;;160;97,76;;n S;444210;444205;444220;G;WO;W1;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
10;Pretzsch-Mauken;Elbe;;Mittlere Elbe bis Havel;;4242;5731734;4557003;;184,4;links;;55764;69,32;;n S;501330;;;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
11;Elster;Elbe;;Mittlere Elbe bis Havel;;4142;5743960;4557150;;200,2;rechts;;61575;66,76;;n S;501390;;;S;;;WZ;;;;;2;;;;;OrB;;;;;;
12;Wittenberg;Elbe;;Mittlere Elbe bis Havel;53939;4141;5747138;4544634;;214,1;links;;61879;62,48;;;501420;;;G;WO;W1;;Q;;F;;;;;;GJ;;;;WSA DD;WSA DD;DGJ;
13;Coswig;Elbe;;Mittlere Elbe bis Havel;;4140;5749352;4531196;;236,4;links;;62054;57,62;;;501470;;;S;;;WZ;;;;;2;;;;;OrB;;;WSA DD;WSA DD;;
14;Roßlau;Elbe;;Mittlere Elbe bis Havel;;4139;5749733;4516399;;257,8;Mitte;;62600;53,86;;;501490;;;S;;;WZ;;B;;;;;;;;OrB;;;WSA DD;WSA DD;;
15;Dessau-Leopoldshafen;Elbe;;Mittlere Elbe bis Havel;;4139;5746975;4515230;;261,2;links;;69781;52,99;;;502000;;502010;G;WO;W1;;;;;;;;;;;;;;WSA DD;WSA DD;;
16;Aken;Elbe;;Mittlere Elbe bis Havel;55951;4138;5747089;4504180;;274,7;links;;70093;50,24;;;502010;502000;502030;G;WO;W1;;Q;;;;;;;;GJ;;;;WSA DD;WSA DD;DGJ;
17;Steckby;Elbe;;Mittlere Elbe bis Havel;5719;4138;5750740;4500650;;280,8;;;;50,11;;;502030;502010;502040;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
18;Breitenhagen I;Elbe;;Mittlere Elbe bis Havel;5719;4037;5753190;4497880;;284,3;;;;49,34;;;502040;502030;502050;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
19;Breitenhagen II;Elbe;;Mittlere Elbe bis Havel;5719;4037;5755480;4496480;;287,3;;;;48,68;;;502050;502040;502060;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
20;Breitenhagen III;Elbe;;Mittlere Elbe bis Havel;5719;4037;5756220;4495810;;288,3;;;;48,44;;;502060;502050;502070;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
21;Barby;Elbe;;Mittlere Elbe bis Havel;5719;4037;5761900;4492050;;295,5;links;;94060;46,00;;n S;502070;502060;502100;G;WO;W1;;Q;B;;;;;;;GJ;;;;WSA MD;WSA MD;DGJ;2/1973 Pegelstandortänderung 1973
22;Barby-Schaftränke;Elbe;;Mittlere Elbe bis Havel;;4037;5760650;4492050;;294,7;;;;47,10;;;502080;502070;502020;;;;;;;;;2;;;;;;;;;;;
23;Dornburg;Elbe;;Mittlere Elbe bis Havel;;3937;5765100;4491920;;299,0;;;;46,16;;;502090;502080;502100;;;;;;;;;2;;;;;;;;;;;
24;Glinde;Elbe;;Mittlere Elbe bis Havel;5719;3937;5765500;4490360;;302,1;;;;45,59;;;502100;502070;502110;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
25;Schönebeck Zackmünde;Elbe;;Mittlere Elbe bis Havel;5719;3936;5764540;4486940;;305,6;;;;44,87;;;502110;502100;502120;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
26;Schönebeck Grünewalde;Elbe;;Mittlere Elbe bis Havel;5719;3936;5765960;4483940;;310,0;;;;44,12;;;502120;502110;502130;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
27;Schönebeck;Elbe;;Mittlere Elbe bis Havel;5719;3936;;;;311,2;;;94571;44,69;;;502130;502120;502140;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
28;Magdeb.-Buckau,Hubbrücke;Elbe;;Mittlere Elbe bis Havel;57391;3835;5776380;4475240;;325,5;;;94940;40,41;;;502170;502160;502180;;;;;;;;;;;;;;;;;;;;
29;Magdeburg Strombrücke;Elbe;;Mittlere Elbe bis Havel;57391;3835;5777950;4475750;;326,6;links;;94942;39,92;;n S;502180;502170;502190;G;WO;;;Q;B;;;;;;;;;;;WSA MD;WSA MD;;5 mal Pegelstandortänderung 1817 - 1862
30;Magdeburg Herrenkrug;Elbe;;Mittlere Elbe bis Havel;57394;3836;5781360;4478400;;330,3;;;;39,68;;;502200;502190;502210;V;;;;;;;;2;;;;;;;;STAU MD;STAU MD;;
31;Elbabstiegskanal-Rothensee;Abstiegskanal;Elbe;Mittlere Elbe bis Havel;57393;3736;5787820;4477800;;332,7;;;94950;0,00;;;502211;502210;502220;;;;;;;;;;;;;;;;;;;;
32;Hohenwarthe;Elbe;;Mittlere Elbe bis Havel;;3736;;;;339,0;;;;38,16;;;502220;502211;502230;;;;;;;;;2;;;;;;;;;;;
33;Neubensdorf-Herrenhölzer;Elbe;;Mittlere Elbe bis Havel;;;;;;341,0;;;;37,73;;;502230;502220;502240;;;;;;;;;2;;;;;;;;;;;
34;Niegripp Neue Schleuse AP;Elbe;;Mittlere Elbe bis Havel;57592;3736;5790700;4482310;;343,6;;;95515;34,44;;;502240;502230;502243;G;WO;W1;;;B;;;;;;;;;;;WSA MD;WSA MD;;
35;Rogätz;Elbe;;Mittlere Elbe bis Havel;;3636;5797900;4484400;;350,7;;;;35,04;;;502250;502243;502260;;;;;;;;;2;;;;;;;;;;;
36;Burg-Blumenthal;Elbe;;Mittlere Elbe bis Havel;;3736;;;;356,3;;;;35,04;;;502260;502250;502270;;;;;;;;;2;;;;;;;;;;;
37;Schopsdorf-Sandfurth;Elbe;;Mittlere Elbe bis Havel;;3637;;;;362,2;;;;33,90;;;502270;502260;502280;;;;;;;;;2;;;;;;;;;;;
38;Zerben;Elbe;;Mittlere Elbe bis Havel;;3637;;;;364,5;;;;33,25;;;502280;502270;502290;;;;;;;;;2;;;;;;;;;;;
39;Bittkau-Polte;Elbe;;Mittlere Elbe bis Havel;;3537;;;;367,8;;;;32,42;;;502290;502280;502300;;;;;;;;;2;;;;;;;;;;;
40;Parey Schleuse AP;Pareyer Verbindungskanal;Elbe;Mittlere Elbe bis Havel;5772;3537;5807850;4498540;;371,2;;;97264;30,92;;;502300;502290;502310;;;;;;;;;;;;5;;;;;;;;
41;Ferchland;Alte Elbe;Elbe;Mittlere Elbe bis Havel;57792;3537;5811250;4499810;;374,8;;;97272;29,94;;;502310;502300;502320;;;;;;;;;2;;;;;;;;;;;
42;Schelldorf;Elbe;;Mittlere Elbe bis Havel;;3537;5815670;4498870;;379,8;;;;30,33;;;502320;502310;502330;;;;;;;;;2;;;;;;;;;;;
43;Buch I;Elbe;;Mittlere Elbe bis Havel;;3537;5817280;4498640;;381,5;;;;30,24;;;502330;502320;502340;;;;;;;;;2;;;;;;;;;;;
44;Buch II;Elbe;;Mittlere Elbe bis Havel;;3537;5818230;4497870;;382,7;;;;29,79;;;502340;502330;502350;;;;;;;;;2;;;;;;;;;;;
45;Tangermünde;Elbe;;Mittlere Elbe bis Havel;57799;3437;5823750;4498650;;388,2;links;;97780;27,59;;n S;502350;502340;502360;G;WO;W1;;Q;B;;;;;;;GJ;;;;WSA MD;WSA MD;DGJ;
46;Tangermünde-Karlbau;Elbe;;Mittlere Elbe bis Havel;;3437;5825770;4498900;;390,8;;;;28,05;;;502360;502350;502370;;;;;;;;;2;;;;;;;;;;;
47;Storkau;Elbe;;Mittlere Elbe bis Havel;;3437;5831900;4500325;;396,2;;;97788;29,90;;;502370;502360;502380;;;;;;;;;;;;;;;;;WSA MD;WSA MD;;
48;Storkau-Billberge;Elbe;;Mittlere Elbe bis Havel;;3338;5833640;4501320;;399,2;;;;26,53;;;502380;502370;502390;;;;;;;;;2;;;;;;;;;;;
49;Arneburg;Elbe;;Mittlere Elbe bis Havel;;3338;5837970;4500750;;403,3;;;;25,76;;;502390;502380;502400;;;;;;;;;2;;;;;;;;;;;
50;Dalchau;Elbe;;Mittlere Elbe bis Havel;;3238;5841710;4501640;;407,1;;;;25,02;;;502400;502390;502410;;;;;;;;;2;;;;;;;;;;;
51;Schönfeld;Elbe;;Mittlere Elbe bis Havel;;3228;5843720;4502990;;409,3;;;;24,77;;;502410;502400;502420;;;;;;;;;2;;;;;;;;;;;
52;Osterholz;Elbe;;Mittlere Elbe bis Havel;;3238;5846980;4503040;;412,6;;;;24,09;;;502420;502410;502430;;;;;;;;;2;;;;;;;;;;;
53;Sandau;Elbe;;Mittlere Elbe bis Havel;57919;3238;5850200;4502180;;416,0;;;97827;22,47;;;502430;502420;502440;;;;;;;;;;;;;;;;;;;;
54;Räbel;Elbe;;Mittlere Elbe bis Havel;;3138;5854140;4501380;;419,9;;;;22,76;;;502440;502430;502450;;;;;;;;;2;;;;;;;;;;;
55;Havelberg-Dommühlenholz;Elbe;;Mittlere Elbe bis Havel;;3138;5855870;4503230;;422,1;;;97835;21,34;;;502450;502440;502460;;;;;;;;;2;;;;;;;;;;;
56;Werben-Neuwerben;Elbe;;Mittlere Elbe bis Havel;;3138;5860230;4501460;;426,7;;;122249;21,56;;;502460;502450;502470;;;;;;;;;2;;;;;;;;;;;
57;Werben Neuwerben AP;Elbe;;Mittlere Elbe uh. Havel;5911;3138;5860560;4500680;;427,7;;;24290;;;;502470;502460;502475;S;WO;;;;;;;;;;;;;;;WSA BRB;WSA BRB;;
58;Havelberg Schleuse AP;Elbe;;Mittlere Elbe uh. Havel;5911;3188;5855620;4503740;;422,5;;;122132;21,57;;;502475;;;S;WO;;;;;;;;;;;;;;;WSA BRB;WSA BRB;;
59;Werben-Havelmündung;Elbe;;Mittlere Elbe uh. Havel;;3138;5860450;4500570;;429,7;;;;21,00;;;502480;502470;502490;;;;;;;;;;;;5;;;;;;;;
60;Werben-Neugoldbeck;Elbe;;Mittlere Elbe uh. Havel;5911;3137;5860260;4497410;;430.5;;;;20,77;;;502490;502480;502500;;;;;;;;;2;;;;;;;;;;;
61;Abbendorf;Elbe;;Mittlere Elbe uh. Havel;;3137;5862340;4494180;;434,7;;;122196;20,57;;;502500;502490;;;;;;;;;;2;;;;;;;;;;;
62;Pretzien-Ranies;Alte Elbe;Elbe;Mittlere Elbe uh. Havel;;3936;;;;2,5;;;;47,65;;;502800;;;;;;;;;;;2;;;;;;;;;;;
63;Dornburger Siel OP;Alte Elbe;Elbe;Mittlere Elbe bis Havel;57314;3936;5767840;4488560;;2,6;;;;45,47;;;502810;502370;502820;S;;;;;;;;;;;5;;;;;STAU MD;STAU MD;;
64;Dornburger Siel UP;Alte Elbe;Elbe;Mittlere Elbe bis Havel;57314;3936;5767800;4488480;;2,6;;;;45,47;;;502820;502810;502830;S;;;;;;;;;;;5;;;;;STAU MD;STAU MD;;
65;Pretziener Wehr OP;Umflutkanal;Elbe;Mittlere Elbe bis Havel;57464;3936;5767480;4488340;;2,6;;;;45,49;;;502830;502820;502840;S;;;;;;;;;;;5;;;;;STAU MD;STAU MD;;
66;Pretziener Wehr UP;Umflutkanal;Elbe;Mittlere Elbe bis Havel;57464;3936;5767380;4488300;;2,6;;;;45,49;;;502840;502830;502850;S;;;;;;;;;;;5;;;;;STAU MD;STAU MD;;
67;Pechau Pechauer Siel;Umflutkanal;Elbe;Mittlere Elbe bis Havel;5746;3936;-;-;;12,7;;;;43,00;;;502850;502840;502860;S;;;;;;;;;;;5;;;;;STAU MD;STAU MD;;
68;BiederitzHeyrothsb.Fried.br.;Umflutkanal;Elbe;Mittlere Elbe bis Havel;57459;3936;5778210;4481560;;18,0;;;;43,26;;;502860;502850;502870;V;;;;;;;;;3;;;;OrB;;;STAU MD;STAU MD;;
69;Biederitz Eisenbahnbrücke;Umflutkanal;Elbe;Mittlere Elbe bis Havel;57459;3936;-;-;;20,1;;;;39,92;;;502870;502860;579000;V;;;;;;;;;;;;;OrB;;;STAU MD;STAU MD;;
70;Lostau;;Elbe;Mittlere Elbe bis Havel;;3736;;;;;;;;39,04;;;502880;;;;;;;;;;;2;;;;;;;;;;;
71;Magdeburg-Friedrichstadt;;Elbe;Mittlere Elbe bis Havel;;3835;;;;;;;;40,66;;;502900;;;;;;;;;;;2;;;;;;;;;;;
72;Gnevsdorf;Elbe;;Mittlere Elbe uh. Havel;;3037;5864000;4492920;;437,9;;;;20,15;;;503000;;;;;;;;;;;2;;;;;;;;;;;
73;Gnevsdorf Wehr AP;Elbe;;Mittlere Elbe uh. Havel;5911;3037;5863900;4492280;;438,0;;;122302;19,15;;;503010;502475;503050;S;WO;;;;;;;;;;;;;;;WSA BRB;WSA BRB;;
74;Beuster-Camps;Elbe;;Mittlere Elbe uh. Havel;;3036;5865820;4487530;;442,6;;;;19,40;;;503020;503010;503030;;;;;;;;;2;;;;;;;;;;;
75;Scharleuk;Elbe;;Mittlere Elbe uh. Havel;;3037;5869200;4489540;;446,6;;;;18,85;;;503030;503020;503040;;;;;;;;;2;;;;;;;;;;;
76;Steinfelde;Elbe;;Mittlere Elbe uh. Havel;;3036;5869850;4485190;;451,0;;;;18,21;;;503040;503030;503050;;;;;;;;;2;;;;;;;;;;;
77;Wittenberge;Elbe;;Mittlere Elbe uh. Havel;5911;3036;5873130;4483465;;453,9;rechts;;123532;16,72;;;503050;503010;;G;WO;W1;;Q;B;;;;;;;GJ;;;;WSA MD;WSA MD;DGJ;
78;Wahrenberg;Elbe;;Mittlere Elbe uh. Havel;59151;;;;;459,6;;;;16,79;;;503060;503050;;;;;;;;;;2;;;;;;;;;;;
79;Lenzen;Elbe;;Mittlere Elbe uh. Havel;5917;2934;;;;484,6;;;125491;12,43;;;503120;;;G;;;;;;;;;;;;;;;;;;;
80;Dömitz;Elbe;;Mittlere Elbe uh. Havel;5931;2833;5890068;4449441;;504,7;rechts;;129871;10,43;;;503160;;;G;WO;;;;;;;;;;;GJ;;;;WSA  Laubg.;WSA  Laubg.;DGJ;
81;Darchau;Elbe;;Mittlere Elbe uh. Havel;;2751;;;;535,8;;;131950;5,78;;;503270;;;G;;;;Q;;;;;;;;;;;;;;;
82;Boitzenburg;Elbe;;Mittlere Elbe uh. Havel;5937;2630;5916750;4414780;;559,5;rechts;;134512;3,80;;;503350;;;G;WO;;;;;;;;;;;GJ;;;;WSA  Laubg.;WSA  Laubg.;DGJ;
83;Pretzsch;Pretzscher Bach;Elbe;Mittlere Elbe bis Havel;53796;4242;5731400;4555020;GKS;2,2;links;15144240;34,4;75,92;75,77;;552450;552440;;G;;;WZ;Q;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
84;Löben;Schwarze Elster;Elbe;Schwarze Elster;53877;4244;5737740;4574810;GKS;21,6;rechts;15124330;4327;73,07;72,91;;553060;553050;553070;G;WO;W1;;Q;B;;Tw;;;;;GJ;;;;LHW;LHW Halle;DGJ;
85;Kleinkorga;Schweinitzer Fließ;Schwarze Elster, Elbe;Schwarze Elster;5388;4144;5742595;4574494;GKS;;links;15114230;;;73,46;;;;554830;V;;;WZ;;;;;;;;;;OrB;;;LHW;LHW Halle;;
86;Schweinitz;Schweinitzer Fließ;Schwarze Elster, Elbe;Schwarze Elster;53889;4144;5741250;4571065;GKS;1,6;links;15124540;562;71,78;71,63;;554830;;;G;;;WZ;Q;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
87;Dietrichsdorf;Zahna;Elbe;Mittlere Elbe bis Havel;53927;4142;5747484;4553184;GKS;3,8;links;15144060;159;74,57;74,42;;555010;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;seit 1996 neuer Pegelstandort
88;Iserbegka;Zugbach;Elbe;Mittlere Elbe bis Havel;53912;4142;5744610;4555270;GKS;1,4;;;29,9;;;;555020;555010;;V;;;;Q;;;;;3;;;;OrB;;;LHW;LHW Halle;;kein Lattenpegel
89;Listerfehrda;Wiesenbach;Schwarze Elster, Elbe;Schwarze Elster;538989;4143;5743600;4558630;GKS;2,1;rechts;11124320;162;;69,54;;555050;;;V;;;WZ;Q;;;;;3;;;;OrB;;;LHW;LHW Halle;;
90;Reinsdorf;Rischebach;Elbe;Mittlere Elbe bis Havel;53943;4141;5751000;4541900;GKS;5,0;rechts;15144290;55,5;78,50;;;555060;;;G;;;WZ;Q;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;Profilveränderung1986, Pegel 1998/99 neu (Brückenneubau)
91;Weiden;Rossel;Elbe;Mittlere Elbe bis Havel;53985;4040;5759640;4526600;GKS;16,8;Mitte;;104;92,46;92,31;;555090;;555100;G;;;WZ;Q;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
92;Mühlstedt;Rossel;Elbe;Mittlere Elbe bis Havel;53987;4039;5754450;4517920;GKS;6,0;links;15134140;157;;67,48;;555100;555090;;G;;;WZ;Q;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;seit 1996 neuer Pegelstandort
93;Priorau;Mulde;Elbe;Mulde;54975;4239;5733090;4520540;GKS;23,7;links;;6990;63,71;63,56;;560090;560080;560100;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;Seilkrananlage
94;Dessau Wehr OP;Mulde;Elbe;Mulde;54979;4139;5744380;4517470;GKS;7,3;links;15101000;7155;;56,33;;;560100;;G;;;WZ;;;;;;;;;;;;;LHW;LHW Halle;;
95;Dessau-Brücke UP;Mulde;Elbe;Mulde;54979;4139;5744420;4517480;GKS;7,3;Mitte/rechts;15101000;7155;56,20;;;560130;;;G;WO;W1;;;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;Radarmeßgerät zur W-Erfassung
96;Roitzsch;Strengbach;Leine, Mulde;Mulde;549722;4439;5715720;4518250;GKS;1,0;links;15113340;93,6;87,03;86,88;;561130;;;G;;;WZ;;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;durch Bergbau kaum eigenes AEo, Wasserhaltung  TRL Freiheit II
97;Wolfen;Fuhne;Mulde, Elbe;Mulde;549742;4339;5726400;4519500;GKS;;rechts;15113460;82,6;71,82;71,67;;561150;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;ab 1996 neuer Pegelstandort 
98;Saaleck;Saale;Elbe;Obere Saale;56391;4836;5664025;4478940;GKS;180,40;rechts;15228200;5040;112,21;;;570340;570330;570500;G;WO;;;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;ab 11/1995 neue W-Statistik, da neuer Pegelstandort
99;Naumburg/Grochlitz;Saale;Elbe;Untere Saale;5651;4836;5669090;4488330;GKS;158,01;rechts;15228270;11449;98,21;;;570500;570340;570510;G;WO;W1;;Q;;;Tw;;;;;GJ;;;;LHW;LHW Halle;DGJ;Seilkrananlage an Hennebrücke
100;Öblitzschleuse OP;Saale;Elbe;Untere Saale;56533;4837;5672490;4491020;GKS;150,41;links;;11707;96,39;;;570510;570500;570520;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
101;Öblitzschleuse UP;Saale;Elbe;Untere Saale;56533;4837;5672440;4491100;GKS;150,40;links;;11707;95,39;;;570520;570510;570530;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
102;Beuditzschleuse OP;Saale;Elbe;Untere Saale;56537;4737;5674500;4496650;GKS;143,29;links;;11765;94,80;;;570530;570520;570540;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
103;Beuditzschleuse UP;Saale;Elbe;Untere Saale;56537;4737;5674500;4496740;GKS;143,28;links;;11765;94,80;;;570540;570530;570550;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
104;Brückenmühlschl. OP;Saale;Elbe;Untere Saale;56537;4737;5674540;4497300;GKS;142,51;links;;11767;93,81;;;570550;570540;570560;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
105;Brückenmühlschl. UP;Saale;Elbe;Untere Saale;56537;4737;5674480;4497340;GKS;142,50;links;;11767;92,81;;;570560;570550;570570;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
106;Herrenmühlschl. OP;Saale;Elbe;Untere Saale;56539;4737;5674500;4498530;GKS;141,07;rechts;;11781;92,24;;;570580;570570;570590;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
107;Herrenmühlschl. UP;Saale;Elbe;Untere Saale;56539;4737;5674450;4498535;GKS;140,80;rechts;;11781;90,24;;;570590;570580;570600;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
108;Bad Dürrenberg OP;Saale;Elbe;Untere Saale;56553;4738;5684480;4504250;GKS;126,18;rechts;;12076;;;;570600;570590;570610;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
109;Bad Dürrenberg UP;Saale;Elbe;Untere Saale;56553;4738;5684400;4504300;GKS;126,05;rechts;;12076;85,85;;;570610;570600;570611;V;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
110;Leuna-Kröllwitz;Saale;Elbe;Untere Saale;56553;4638;5685680;4503540;GKS;124,45;links;;12085;85,58;;;570611;570610;570620;V;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;Wiederinbetriebnahme des Pegels 1994
111;Merseburg Rischm. OP;Saale;Elbe;Untere Saale;;4638;;;;120,7;;;12125;85,65;;;570620;570611;570630;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
112;Merseburg Rischm. UP;Saale;Elbe;Untere Saale;;4638;;;;120,6;;;12125;81,65;;;570630;570620;570640;G;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
113;Meuschau OP;Saale;Elbe;Untere Saale;56559;4638;;;;119,1;;;12127;81,00;;;570640;570630;570650;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
114;Meuschau UP;Saale;Elbe;Untere Saale;56559;4638;;;;119,0;;;12127;80,00;;;570650;570640;570670;G;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
115;Schkopau;Saale;Elbe;Untere Saale;;4537;;;;111,5;;;12500;79,02;;;570670;570650;570680;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
116;Korbetha;Saale;Elbe;Untere Saale;;4537;;;;110,5;;;12501;79,50;;;570680;570670;570690;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
117;Halle-Planena OP;Saale;Elbe;Untere Saale;56599;4537;;;;109,5;;;12502;77,92;;;570690;570680;570700;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
118;Halle-Planena UP;Saale;Elbe;Untere Saale;56599;4537;;;;109,5;;;12502;75,87;;;570700;570690;570710;G;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
119;Hohenweiden-Röpzig;Saale;Elbe;Untere Saale;;4537;;;;104,0;;;17891;77,08;;;570710;570700;570720;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
120;Halle-Böllberg OP;Saale;Elbe;Untere Saale;56711;4537;;;;98,1;;;17934;75,66;;;570720;570710;570730;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
121;Halle-Böllberg UP;Saale;Elbe;Untere Saale;56711;4537;;;;98,0;;;17934;74,41;;;570730;570720;570760;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
122;Halle Stadtschleuse OP;Saale;Elbe;Untere Saale;56713;4537;;;;96,0;;;17939;74,48;;;570760;570730;570770;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
123;Halle Stadtschleuse UP;Saale;Elbe;Untere Saale;56713;4537;;;;95,9;;;17939;72,86;;;570770;570760;570780;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
124;Halle-Gimritzschl. OP;Saale;Elbe;Untere Saale;56713;4537;;;;94,8;;;17962;72,92;;;570780;570770;570790;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
125;Halle-Gimritzschl. UP;Saale;Elbe;Untere Saale;56713;4537;;;;94,6;;;17962;71,01;;;570790;570780;570800;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
126;Halle-Trotha Schl. OP;Saale;Elbe;Untere Saale;56715;4437;;;;90,7;;;17979;71,26;;;570800;570790;570810;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
127;Halle-Trotha UP;Saale;Elbe;Untere Saale;56715;4437;5709575;4496950;;89,1;rechts;;17979;69,37;;;570810;570800;570830;G;WO;W1;;Q;;F;;;;;;GJ;;;;WSA DD;WSA DD;DGJ;
128;Wettin Schleuse OP;Saale;Elbe;Untere Saale;56735;4436;;;;71,6;;;18690;67,16;;;570830;570810;570840;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
129;Wettin Schleuse UP;Saale;Elbe;Untere Saale;56735;4436;;;;71,5;;;18690;64,28;;;570840;570830;570850;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
130;Rothenburg N. Schl. OP;Saale;Elbe;Untere Saale;56751;4336;;;;59,6;;;18853;64,15;;;570850;570940;570860;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
131;Rothenburg N. Schl. UP;Saale;Elbe;Untere Saale;56751;4336;;;;59,5;;;18853;61,05;;;570860;570850;570870;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
