Lfd.Nr.;Pegelname;Gewässer;Gewässerfolge;Gebiet;Gebietskennz.;TK 25;HW;RW;LS;Stationierung;Lage am Gewässer;Gemeindekennzahl;AEO (km2);PNP1;PNP2;PNP3;Messstellennummer1;Messstellennummer2;Messstellennummer3;Messnetzart;WO;W1;WZ;Q;B;F;Tw;2;3;4;5;GJ;OrB;eingest.;gepl.;Betreiber;Daten abrufbar bei;Veröffentlichung der Daten;sonstige Bemerkungen
344;Stauanlage OW uh.Zahna;Zahna;Elbe;Mittlere Elbe bis Havel;5392;4042;5752714;4554914;GKS;;rechts;15144390;;;81,85;;;;;V;;;WZ;;;;;;;;5;;OrB;;;LHW;FB WB;;
345;Stauanlage UW uh.Zahna;Zahna;Elbe;Mittlere Elbe bis Havel;5392;4042;5752635;4554907;GKS;;rechts;15144390;;;81,30;;;;;V;;;WZ;;;;;;;;5;;OrB;;;LHW;FB WB;;
346;uh. Abschlag Zahna;Greybach (Taubengr.);Zahna, Elbe;Mittlere Elbe bis Havel;53928;4142;5747021;4552507;GKS;;Mitte;;;;71,51;;;;;V;;;WZ;;;;;;;;;;OrB;;;LHW;FB WB;;
347;Meinsdorf;Freibach;Rossel, Elbe;Mittlere Elbe bis Havel;53987;4039;5751820;4517270;GKS;;rechts;;;;65,11;;;;;V;;;WZ;;;;;;;;5;;OrB;;;LHW;FB WB;;
348;Auslauf Stausee OP;Mulde;Elbe;Mulde;54971;4340;5724468;4524937;GKS;;links;15113200;6709;;;;;;;G;;;WZ;;;;;;;;;;;;;LHW;LHW Halle;;
349;Auslauf Stausee UP;Mulde;Elbe;Mulde;54971;4340;5724526;4524847;GKS;;links;15113200;6709;;74,67;;;;;G;;;WZ;;;;;;;;;;;;;LHW;LHW Halle;;
350;Jonitzer Mühle OP;Jonitzer Mulde;Mulde, Elbe;Mulde;54978;4139;5744764;4518479;GKS;;links;15101000;;;;;;;;S;;;WZ;;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
351;Jonitzer Mühle UP;Jonitzer Mulde;Mulde, Elbe;Mulde;54978;4139;5744819;4518487;GKS;;rechts;15101000;;;;;;;;S;;;WZ;;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
352;Dessau Schöpfwerk;Lorkgraben Sielauslauf;Mulde, Elbe;Mulde;5497;4139;5742277;4517443;GKS;;;1511000;;;59,91;;;;;S;;;WZ;;;;;;;;5;;OrB;;;LHW;FB WB;;
353;Kunstteich Wettelrode BP;Schönbach;Ziegental, Leine, Helme, Unstrut, Saale, Elbe;Unstrut;564856;4533;;;GKS;;;15237540;;;;;;;;G;;;WZ;;;;;;;;;;OrB;;;LHW;FB SGH;;
