  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
    8.6760       1.0000           6.7980        4.5000     1.000000    -0.2633546D-02    -0.8167488D-02     0.7334674D-04
    8.7020       1.0260           7.0310        4.7500     1.000000     0.4555937D-03    -0.4966590D-02     0.7667137D-04
    8.7270       1.0510           7.2590        5.0000     1.000000    -0.6133281D-03    -0.7186758D-02     0.7744528D-04
    8.7520       1.0760           7.4840        5.2500     1.000000     0.1200418D-02    -0.5323164D-02     0.7581451D-04
    8.7770       1.1010           7.7070        5.5000     1.000000     0.4862315D-02     0.4844144D-03     0.7179914D-04
    8.8010       1.1250           7.9250        5.7500     1.000000     0.4288372D-02    -0.3529358D-03     0.6576418D-04
    8.8250       1.1490           8.1410        6.0000     1.000000     0.5528207D-02     0.2211227D-02     0.5769724D-04
    8.8480       1.1720           8.3530        6.2500     1.000000     0.1527833D-02    -0.2653395D-02     0.4819251D-04
    8.8720       1.1960           8.5630        6.5000     1.000000     0.8364661D-02     0.6273795D-02     0.3660145D-04
    8.8950       1.2190           8.7700        6.7500     1.000000     0.8964538D-02     0.7330741D-02     0.2409495D-04
    8.9170       1.2410           8.9750        7.0000     1.000000     0.2353314D-02     0.7317357D-04     0.1106907D-04
    8.9400       1.2640           9.1770        7.2500     1.000000     0.7570550D-02     0.6499677D-02    -0.3402688D-05
    8.9620       1.2860           9.3780        7.5000     1.000000     0.4605165D-02     0.4251939D-02    -0.1778820D-04
    8.9840       1.3080           9.5770        7.7500     1.000000     0.3481799D-02     0.4369369D-02    -0.3240708D-04
    9.0060       1.3300           9.7740        8.0000     1.000000     0.4215287D-02     0.6802572D-02    -0.4693684D-04
    9.0270       1.3510           9.9680        8.2500     1.000000    -0.1155736D-02    -0.1196425D-03    -0.6040030D-04
    9.0490       1.3730          10.1610        8.5000     1.000000     0.3354548D-02     0.6713676D-02    -0.7371393D-04
    9.0700       1.3940          10.3530        8.7500     1.000000    -0.1862662D-03     0.3920911D-02    -0.8529789D-04
    9.0910       1.4150          10.5420        9.0000     1.000000    -0.7731080D-03     0.3100001D-02    -0.9539778D-04
    9.1120       1.4360          10.7300        9.2500     1.000000    -0.3777185D-03     0.4226350D-02    -0.1036094D-03
    9.1330       1.4570          10.9170        9.5000     1.000000     0.1031162D-02     0.7278949D-02    -0.1095046D-03
    9.1530       1.4770          11.1030        9.7500     1.000000    -0.5487955D-02     0.5629174D-04    -0.1125516D-03
    9.1740       1.4980          11.2870       10.0000     1.000000    -0.9512519D-03     0.6822740D-02    -0.1125978D-03
    9.1940       1.5180          11.4690       10.2500     1.000000    -0.3278494D-02     0.3114970D-02    -0.1091891D-03
    9.2140       1.5380          11.6500       10.5000     1.000000    -0.4456749D-02     0.1111093D-02    -0.1019527D-03
    9.2340       1.5580          11.8300       10.7500     1.000000    -0.4446365D-02     0.8080878D-03    -0.9041663D-04
    9.2540       1.5780          12.0090       11.0000     1.000000    -0.3205220D-02     0.2205883D-02    -0.7408928D-04
    9.2730       1.5970          12.1870       11.2500     1.000000    -0.9721806D-02    -0.7388255D-02    -0.5367461D-04
    9.2930       1.6170          12.3640       11.5000     1.000000    -0.5900179D-02    -0.2662927D-02    -0.2651466D-04
    9.3120       1.6360          12.5390       11.7500     1.000000    -0.8778268D-02    -0.9082934D-02     0.5167341D-05
    9.3320       1.6560          12.7130       12.0000     1.000000    -0.1188305D-02    -0.9972382D-03     0.4525256D-04
    9.3510       1.6750          12.8870       12.2500     1.000000    -0.2240742D-02    -0.4201525D-02     0.9025993D-04
    9.3700       1.6940          13.0590       12.5000     1.000000    -0.8179182D-03    -0.5817870D-02     0.1425467D-03
    9.3890       1.7130          13.2300       12.7500     1.000000     0.2130725D-02    -0.5829064D-02     0.2026508D-03
    9.4080       1.7320          13.4020       13.0000     1.000000     0.4657754D-02    -0.4215495D-02     0.2711263D-03
    9.4270       1.7510          13.5740       13.2500     1.000000     0.7817747D-02    -0.9551469D-03     0.3485434D-03
    9.4450       1.7690          13.7460       13.5000     1.000000     0.2393923D-02    -0.9483137D-02     0.4306653D-03
    9.4640       1.7880          13.9180       13.7500     1.000000     0.6950751D-02    -0.2943644D-02     0.5271926D-03
    9.4820       1.8060          14.0920       14.0000     1.000550     0.9571545D-03    -0.8314922D-02     0.7851468D-04
    9.5010       1.8250          14.2640       14.2500     1.000760     0.7140262D-02     0.1614075D-02    -0.1350429D-04
    9.5190       1.8430          14.4360       14.5000     1.001660     0.4801293D-02    -0.4875313D-03    -0.2342349D-11
    9.5370       1.8610          14.6090       14.7500     1.002090     0.2352633D-02    -0.9526029D-03     0.4668219D-09
    9.5550       1.8790          14.7830       15.0000     1.002560    -0.1476624D-03     0.2515106D-03    -0.2325777D-09
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.97700000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    7.9460       0.4950           1.4180        0.5000     1.000000     0.2638144D+01     0.8035576D-01    -0.1942728D-03
    8.0390       0.5880           1.8830        0.7500     1.000000    -0.9665263D+00    -0.1952331D-01     0.2188270D-03
    8.1090       0.6580           2.2600        1.0000     1.000000    -0.1917420D+01    -0.5840481D-01     0.2492582D-03
    8.1700       0.7190           2.6040        1.2500     1.000000    -0.1923727D+01    -0.6890043D-01     0.1357464D-03
    8.2270       0.7760           2.9270        1.5000     1.000000    -0.1477722D+01    -0.5650539D-01    -0.3726241D-04
    8.2800       0.8290           3.2330        1.7500     1.000000    -0.8459054D+00    -0.3469503D-01    -0.2085232D-03
    8.3290       0.8780           3.5280        2.0000     1.000000    -0.1980996D+00    -0.1344682D-01    -0.3323562D-03
    8.3760       0.9250           3.8110        2.2500     1.000000     0.4103995D+00     0.1189584D-01    -0.3789486D-03
    8.4210       0.9700           4.0860        2.5000     1.000000     0.9199538D+00     0.3734083D-01    -0.3181631D-03
    8.4630       1.0120           4.3500        2.7500     1.000000     0.1289795D+01     0.5339239D-01    -0.1327695D-03
    8.5030       1.0520           4.6040        3.0000     1.000000     0.1527715D+01     0.6382234D-01     0.1918640D-03
    8.5420       1.0910           4.8510        3.2500     1.000000     0.1641696D+01     0.7366771D-01     0.6785478D-03
    8.5790       1.1280           5.0950        3.5000     1.000000     0.1625954D+01     0.7515992D-01     0.1324383D-02
    8.6100       1.1590           5.2980        3.7500     1.001390     0.1528373D+01     0.3940486D-01     0.6344531D-03
    8.6440       1.1930           5.5290        4.0000     1.003580     0.1326537D+01     0.2800264D-01    -0.5991469D-03
    8.6780       1.2270           5.7600        4.2500     1.005000     0.1041480D+01     0.2040172D-01    -0.8422300D-03
    8.7110       1.2600           5.9870        4.5000     1.006510     0.6929377D+00     0.9418590D-02    -0.9754613D-03
    8.7430       1.2920           6.2130        4.7500     1.007830     0.2969987D+00    -0.5088459D-02    -0.7172377D-03
    8.7750       1.3240           6.4410        5.0000     1.008940    -0.1367176D+00    -0.1566060D-01     0.1303292D-04
    8.8060       1.3550           6.6670        5.2500     1.011230    -0.5788595D+00    -0.2962885D-01     0.1454685D-03
    8.8370       1.3860           6.8940        5.5000     1.012990    -0.1019107D+01    -0.3917572D-01    -0.1355133D-01
    8.8670       1.4160           7.1190        5.7500     1.014810    -0.1427116D+01    -0.5182739D-01    -0.1362059D-01
    8.8970       1.4460           7.3470        6.0000     1.016610    -0.1792760D+01    -0.5940742D-01    -0.6628076D-02
