       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    44.1000    n     1.000   360.131   360.577   360.578   363.917   365.236   363.917   0.132    0.27     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.553     0.000     0.000    26.938     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.2000    n     1.000   360.268   360.862   360.863   364.912   364.912   365.283   0.165    0.37     0.000     1.000     0.000  0.0000  0.1088  0.0000     0.000     6.057     0.000     0.000    15.897     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.3000    n     1.000   360.563   361.124   361.125   364.725   364.725   365.575   0.154    0.34     0.000     1.000     0.000  0.0000  0.1147  0.0000     0.000     6.505     0.000     0.000    18.760     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.3900    n     1.000   361.439   361.832   361.833   364.980   364.998   364.980   0.124    0.24     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.076     0.000     0.000    33.034     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.4000    n     1.000   361.518   361.856   361.857   364.732   364.732   365.027   0.118    0.22     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.497     0.000     0.000    38.481     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.4050    n     1.000   361.563   361.925   361.926   364.412   364.412   365.069   0.123    0.24     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.113     0.000     0.000    33.518     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.4250    n     1.000   361.601   361.959   361.959   364.356   364.356   364.950   0.124    0.24     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.043     0.000     0.000    32.627     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.5000    n     1.000   361.792   362.112   362.112   364.652   364.652   365.554   0.126    0.25     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.953     0.000     0.000    30.604     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.6000    n     1.000   360.740   361.145   361.146   363.881   363.881   365.030   0.138    0.30     0.000     1.000     0.000  0.0000  0.1244  0.0000     0.000     7.244     0.000     0.000    23.932     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.7000    n     1.000   359.728   360.171   360.172   363.780   363.780   364.733   0.153    0.34     0.000     1.000     0.000  0.0000  0.1152  0.0000     0.000     6.544     0.000     0.000    19.020     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.8000    n     1.000   359.599   359.991   359.992   364.929   365.020   364.929   0.151    0.33     0.000     1.000     0.000  0.0000  0.1161  0.0000     0.000     6.613     0.000     0.000    19.471     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.9000    n     1.000   359.986   360.442   360.443   363.962   363.962   364.515   0.145    0.32     0.000     1.000     0.000  0.0000  0.1196  0.0000     0.000     6.875     0.000     0.000    21.280     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.0000    n     1.000   359.854   360.358   360.359   363.610   363.610   364.650   0.162    0.36     0.000     1.000     0.000  0.0000  0.1105  0.0000     0.000     6.182     0.000     0.000    16.695     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.1000    n     1.000   360.251   360.677   360.678   364.006   364.006   364.899   0.149    0.32     0.000     1.000     0.000  0.0000  0.1177  0.0000     0.000     6.730     0.000     0.000    20.260     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.2000    n     1.000   358.997   359.831   359.833   362.412   362.412   364.608   0.178    0.41     0.000     1.000     0.000  0.0000  0.1029  0.0000     0.000     5.610     0.000     0.000    13.281     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.3000    n     1.000   358.516   359.128   359.129   363.175   363.175   365.045   0.159    0.35     0.000     1.000     0.000  0.0000  0.1120  0.0000     0.000     6.302     0.000     0.000    17.463     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.4000    n     1.000   358.504   359.190   359.191   362.081   364.898   362.081   0.136    0.29     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.358     0.000     0.000    24.954     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.5000    n     1.000   356.958   357.576   357.576   363.750   364.964   363.750   0.082    0.09     0.000     1.000     0.000  0.0000  0.1090  0.0000     0.000    12.253     0.000     0.000    32.384     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
