       Stat Kenn     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
    60.6310    n     3.220     4.340     4.346     6.080     6.200     6.080   0.348    1.15  0.0000  0.0759  0.0000     0.000     8.985     0.000     0.000    11.054     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.7000    n     3.360     4.351     4.356     6.050     6.050     6.070   0.324    1.02  0.0000  0.0771  0.0000     0.000     9.658     0.000     0.000    12.036     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.8000    n     3.330     4.375     4.387     5.645     6.050     5.645   0.494    2.61  0.0000  0.0856  0.0000     0.000     6.335     0.000     0.000     9.523     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.9000    n     3.140     4.410     4.417     5.530     6.620     5.530   0.352    1.26  0.0000  0.0810  0.0000     0.000     8.884     0.000     0.000    11.155     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.0000    n     3.580     4.428     4.434     6.020     6.570     6.020   0.354    1.25  0.0000  0.0800  0.0000     0.000     8.835     0.000     0.000    11.415     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.1000    n     3.450     4.444     4.449     5.500     6.940     5.500   0.309    0.89  0.0000  0.0751  0.0000     0.000    10.143     0.000     0.000    11.687     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.1270    n     2.740     4.449     4.451     5.840     5.890     5.840   0.228    0.50  0.0000  0.0759  0.0000     0.000    13.698     0.000     0.000    13.477     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.1390    n     3.620     4.449     4.454     5.920     6.210     5.920   0.308    1.37  0.0000  0.1157  0.0000     0.000     5.351     0.000     0.000    10.841     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.2000    n     4.210     4.577     4.603     5.840     6.210     5.840   0.722    9.10  0.0000  0.1396  0.0000     0.000     2.284     0.000     0.000     9.964     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.2410    w     3.930     4.854     4.856     4.650     4.650     4.650   0.179    0.36  0.1146  0.0879  0.1109     0.049     9.141     0.035     0.480    11.660     0.345     4.650  -999.999  -999.999  -999.999  -999.999
    61.3000    n     4.490     4.926     4.950     6.030     6.030     6.030   0.688    8.09  0.0000  0.1358  0.0000     0.000     2.397     0.000     0.000     7.967     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.4000    n     4.240     5.093     5.098     6.070     6.070     6.230   0.299    1.00  0.0000  0.0894  0.0000     0.000     5.518     0.000     0.000     9.163     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.5000    n     4.730     5.205     5.224     6.090     6.320     6.090   0.611    6.37  0.0000  0.1364  0.0000     0.000     2.700     0.000     0.000     8.765     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.6000    n     4.640     5.336     5.340     6.350     6.630     6.350   0.285    0.96  0.0000  0.0950  0.0000     0.000     5.799     0.000     0.000     9.717     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.7000    n     4.720     5.377     5.385     5.970     5.970     6.270   0.413    2.74  0.0000  0.1284  0.0000     0.000     4.000     0.000     0.000     9.674     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.8000    n     4.610     5.422     5.426     6.330     6.840     6.330   0.253    0.70  0.0000  0.0875  0.0000     0.000     6.524     0.000     0.000    10.177     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    61.9000    n     4.670     5.435     5.439     6.490     6.840     6.490   0.280    0.88  0.0000  0.0895  0.0000     0.000     5.888     0.000     0.000     9.704     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.0000    n     4.610     5.450     5.454     6.380     6.380     6.540   0.261    0.81  0.0000  0.0955  0.0000     0.000     6.320     0.000     0.000     9.605     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.1000    n     4.690     5.465     5.469     6.700     7.210     6.700   0.288    0.92  0.0000  0.0893  0.0000     0.000     5.736     0.000     0.000     9.483     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.2000    n     4.860     5.497     5.504     6.480     6.840     6.480   0.381    2.18  0.0000  0.1206  0.0000     0.000     4.336     0.000     0.000     9.570     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.3000    n     4.780     5.534     5.538     6.410     6.410     6.570   0.294    0.97  0.0000  0.0901  0.0000     0.000     5.614     0.000     0.000     9.514     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.4000    n     4.750     5.550     5.554     6.790     6.790     6.830   0.282    0.87  0.0000  0.0874  0.0000     0.000     5.847     0.000     0.000     8.924     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.5000    n     4.760     5.574     5.580     6.620     7.700     6.620   0.353    1.74  0.0000  0.1112  0.0000     0.000     4.670     0.000     0.000     8.881     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.5930    w     5.160     5.898     5.902     5.660     5.660     5.660   0.288    1.06  0.1092  0.0997  0.1111     0.040     5.630     0.049     0.338     9.000     0.412     5.660  -999.999  -999.999  -999.999  -999.999
